experiment_id,participant_id,is_choice_trial,is_attention_check,rt,response,correct_key,correct,trial_number,block_index,old_trial,memorability_bin,encoding_trial,delay,old_side,old_value,left_is_old,right_is_old,repeat_source_was_chosen,old_chosen,left_image_name,left_image_path,left_memorability,left_value,right_image_name,right_image_path,right_memorability,right_value,chosen_side,chosen_image_name,chosen_image_path,chosen_value,reward,response_key,choice_missed,optimal_old_choice,optimal_choice,final_bonus,enc_type,shared_value,chosen_mem_bin,ret_type,left_mem_bin,right_mem_bin,left_is_high,h_value,l_value,delay_h,delay_l,source_hh_trial_number,source_ll_trial_number,hh_source_chosen,ll_source_chosen,value1_source_trial_number,value0_source_trial_number,delay_value1,delay_value0,left_is_value1,value1_source_chosen,value0_source_chosen,is_recognition_trial,recognition_correct,is_value_test_trial,old_image_name,old_image_path,value_test_response,value_test_missed,value_test_correct
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,,,,,1.0,1.0,0.0,low,,,,,False,False,,,duck_03s.jpg,../../stimuli/images/duck_03s.jpg,0.536585,1.0,groundhog_12n.jpg,../../stimuli/images/groundhog_12n.jpg,0.526316,1.0,,,,1.0,,,True,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1159.0,j,,,2.0,1.0,0.0,low,,,,,False,False,,,robot_05s.jpg,../../stimuli/images/robot_05s.jpg,0.608696,1.0,milk_07s.jpg,../../stimuli/images/milk_07s.jpg,0.564103,1.0,left,,,1.0,,j,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1203.0,j,,,3.0,1.0,0.0,high,,,,,False,False,,,sweet_potato_05s.jpg,../../stimuli/images/sweet_potato_05s.jpg,0.95,1.0,rubber_band_04s.jpg,../../stimuli/images/rubber_band_04s.jpg,0.95,1.0,left,,,1.0,,j,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1529.0,j,,,4.0,1.0,0.0,mid,,,,,False,False,,,gazelle_07s.jpg,../../stimuli/images/gazelle_07s.jpg,0.795455,0.0,prune_01b.jpg,../../stimuli/images/prune_01b.jpg,0.794872,0.0,left,,,0.0,,j,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1791.0,j,,,5.0,1.0,0.0,mid,,,,,False,False,,,syringe_12s.jpg,../../stimuli/images/syringe_12s.jpg,0.8,0.0,pillbox_05s.jpg,../../stimuli/images/pillbox_05s.jpg,0.794872,0.0,left,,,0.0,,j,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1995.0,k,,,6.0,1.0,0.0,low,,,,,False,False,,,bassoon_16s.jpg,../../stimuli/images/bassoon_16s.jpg,0.527778,0.0,engine_10s.jpg,../../stimuli/images/engine_10s.jpg,0.5,0.0,right,,,0.0,,k,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1399.0,k,,,7.0,1.0,0.0,low,,,,,False,False,,,seaweed_05s.jpg,../../stimuli/images/seaweed_05s.jpg,0.487805,0.0,coral_07s.jpg,../../stimuli/images/coral_07s.jpg,0.512195,0.0,right,,,0.0,,k,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1054.0,k,,,8.0,1.0,0.0,high,,,,,False,False,,,water_heater_06s.jpg,../../stimuli/images/water_heater_06s.jpg,0.95,0.0,peppermint_07s.jpg,../../stimuli/images/peppermint_07s.jpg,0.97619,0.0,right,,,0.0,,k,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1603.0,k,,,9.0,1.0,1.0,low,2.0,7.0,right,1.0,False,True,True,,scarf_11s.jpg,../../stimuli/images/scarf_11s.jpg,0.575,1.0,robot_05s.jpg,../../stimuli/images/robot_05s.jpg,0.608696,1.0,right,,,,,k,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1388.0,k,,,9.0,1.0,1.0,low,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,True,robot_05s.jpg,../../stimuli/images/robot_05s.jpg,1.0,0.0,1.0
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1135.0,k,,,10.0,1.0,1.0,high,3.0,7.0,right,1.0,False,True,True,,mouthpiece_02s.jpg,../../stimuli/images/mouthpiece_02s.jpg,0.97561,0.0,sweet_potato_05s.jpg,../../stimuli/images/sweet_potato_05s.jpg,0.95,1.0,right,,,,,k,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,857.0,k,,,10.0,1.0,1.0,high,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,True,sweet_potato_05s.jpg,../../stimuli/images/sweet_potato_05s.jpg,1.0,0.0,1.0
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1285.0,k,,,11.0,1.0,0.0,high,,,,,False,False,,,turban_07s.jpg,../../stimuli/images/turban_07s.jpg,0.97561,1.0,sickle_01b.jpg,../../stimuli/images/sickle_01b.jpg,0.952381,1.0,right,,,1.0,,k,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1357.0,k,,,12.0,1.0,0.0,mid,,,,,False,False,,,lamp_01b.jpg,../../stimuli/images/lamp_01b.jpg,0.795455,1.0,arrow_01b.jpg,../../stimuli/images/arrow_01b.jpg,0.794872,1.0,right,,,1.0,,k,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
exp2-prereg-092226,558b8473fdf99b21155f2c40,True,,1342.0,j,,,13.0,1.0,1.0,low,1.0,12.0,left,1.0,True,False,True,,groundhog_12n.jpg,../../stimuli/images/groundhog_12n.jpg,0.526316,1.0,windshield_07s.jpg,../../stimuli/images/windshield_07s.jpg,0.435897,0.0,left,,,,,j,False,,,1.45,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
