experiment_id,participant_id,is_choice_trial,is_attention_check,rt,response,correct_key,correct,trial_number,block_index,old_trial,memorability_bin,encoding_trial,delay,old_side,old_value,left_is_old,right_is_old,repeat_source_was_chosen,old_chosen,left_image_name,left_image_path,left_memorability,left_value,right_image_name,right_image_path,right_memorability,right_value,chosen_side,chosen_image_name,chosen_image_path,chosen_value,reward,response_key,choice_missed,optimal_old_choice,optimal_choice,final_bonus,enc_type,shared_value,chosen_mem_bin,ret_type,left_mem_bin,right_mem_bin,left_is_high,h_value,l_value,delay_h,delay_l,source_hh_trial_number,source_ll_trial_number,hh_source_chosen,ll_source_chosen,value1_source_trial_number,value0_source_trial_number,delay_value1,delay_value0,left_is_value1,value1_source_chosen,value0_source_chosen,is_recognition_trial,recognition_correct,is_value_test_trial,old_image_name,old_image_path,value_test_response,value_test_missed,value_test_correct
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1805.0,j,,,1.0,1.0,0.0,mid,,,,,False,False,,,smoothie_08s.jpg,../../stimuli/images/smoothie_08s.jpg,0.789474,1.0,chopsticks_04s.jpg,../../stimuli/images/chopsticks_04s.jpg,0.794872,1.0,left,,,1.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1318.0,j,,,2.0,1.0,0.0,high,,,,,False,False,,,swan_01b.jpg,../../stimuli/images/swan_01b.jpg,0.925,0.0,baseball_bat_06s.jpg,../../stimuli/images/baseball_bat_06s.jpg,0.95,0.0,left,,,0.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,,,,,3.0,1.0,0.0,low,,,,,False,False,,,brake_01b.jpg,../../stimuli/images/brake_01b.jpg,0.463415,1.0,ladder_14s.jpg,../../stimuli/images/ladder_14s.jpg,0.560976,1.0,,,,1.0,,,True,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,504.0,k,,,4.0,1.0,0.0,low,,,,,False,False,,,raincoat_07s.jpg,../../stimuli/images/raincoat_07s.jpg,0.525,1.0,sombrero_02s.jpg,../../stimuli/images/sombrero_02s.jpg,0.589744,1.0,right,,,1.0,,k,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,628.0,j,,,5.0,1.0,0.0,high,,,,,False,False,,,calf2_03s.jpg,../../stimuli/images/calf2_03s.jpg,0.976744,0.0,dumbbell_12s.jpg,../../stimuli/images/dumbbell_12s.jpg,0.948718,0.0,left,,,0.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,848.0,j,,,6.0,1.0,0.0,mid,,,,,False,False,,,bracelet2_08s.jpg,../../stimuli/images/bracelet2_08s.jpg,0.794872,0.0,ostrich_18s.jpg,../../stimuli/images/ostrich_18s.jpg,0.795513,0.0,left,,,0.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,823.0,j,,,7.0,1.0,0.0,low,,,,,False,False,,,chariot_08s.jpg,../../stimuli/images/chariot_08s.jpg,0.525,1.0,seaweed_05s.jpg,../../stimuli/images/seaweed_05s.jpg,0.487805,1.0,left,,,1.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,,True,2195.0,m,m,True,,,,,,,,,,,,,,,,,,,,,,,,,,m,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1034.0,k,,,8.0,1.0,0.0,low,,,,,False,False,,,earring_02s.jpg,../../stimuli/images/earring_02s.jpg,0.45,1.0,music_box_06s.jpg,../../stimuli/images/music_box_06s.jpg,0.575,1.0,right,,,1.0,,k,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,983.0,k,,,9.0,1.0,1.0,mid,1.0,8.0,right,1.0,False,True,True,,cloak_13s.jpg,../../stimuli/images/cloak_13s.jpg,0.795455,0.0,smoothie_08s.jpg,../../stimuli/images/smoothie_08s.jpg,0.789474,1.0,right,,,,,k,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,,,,,9.0,1.0,1.0,mid,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,smoothie_08s.jpg,../../stimuli/images/smoothie_08s.jpg,,1.0,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1369.0,j,,,10.0,1.0,1.0,low,3.0,7.0,left,1.0,True,False,True,,brake_01b.jpg,../../stimuli/images/brake_01b.jpg,0.463415,1.0,cranberry_03n.jpg,../../stimuli/images/cranberry_03n.jpg,0.566026,0.0,left,,,,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1146.0,j,,,10.0,1.0,1.0,low,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,brake_01b.jpg,../../stimuli/images/brake_01b.jpg,0.0,0.0,0.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1211.0,j,,,11.0,1.0,0.0,mid,,,,,False,False,,,tumbleweed_05s.jpg,../../stimuli/images/tumbleweed_05s.jpg,0.794872,1.0,coffeemaker_12s.jpg,../../stimuli/images/coffeemaker_12s.jpg,0.804878,1.0,left,,,1.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1235.0,j,,,12.0,1.0,1.0,low,4.0,8.0,left,1.0,True,False,True,,sombrero_02s.jpg,../../stimuli/images/sombrero_02s.jpg,0.589744,1.0,cooker_13s.jpg,../../stimuli/images/cooker_13s.jpg,0.525,1.0,left,,,,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1062.0,j,,,12.0,1.0,1.0,low,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,sombrero_02s.jpg,../../stimuli/images/sombrero_02s.jpg,0.0,0.0,0.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1204.0,j,,,13.0,1.0,1.0,high,2.0,11.0,left,0.0,True,False,True,,swan_01b.jpg,../../stimuli/images/swan_01b.jpg,0.925,0.0,tie_07s.jpg,../../stimuli/images/tie_07s.jpg,0.95122,0.0,left,,,,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,702.0,j,,,13.0,1.0,1.0,high,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,swan_01b.jpg,../../stimuli/images/swan_01b.jpg,0.0,0.0,1.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1207.0,j,,,14.0,1.0,1.0,mid,6.0,8.0,left,0.0,True,False,True,,bracelet2_08s.jpg,../../stimuli/images/bracelet2_08s.jpg,0.794872,0.0,pepper_mill_06s.jpg,../../stimuli/images/pepper_mill_06s.jpg,0.795455,0.0,left,,,,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,486.0,j,,,14.0,1.0,1.0,mid,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,bracelet2_08s.jpg,../../stimuli/images/bracelet2_08s.jpg,0.0,0.0,1.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1092.0,k,,,15.0,1.0,1.0,high,5.0,10.0,right,0.0,False,True,True,,step_stool_09s.jpg,../../stimuli/images/step_stool_09s.jpg,0.95,0.0,calf2_03s.jpg,../../stimuli/images/calf2_03s.jpg,0.976744,0.0,right,,,,,k,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1409.0,j,,,15.0,1.0,1.0,high,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,calf2_03s.jpg,../../stimuli/images/calf2_03s.jpg,0.0,0.0,1.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1550.0,j,,,16.0,1.0,0.0,high,,,,,False,False,,,giraffe_06s.jpg,../../stimuli/images/giraffe_06s.jpg,1.0,0.0,puffin_18s.jpg,../../stimuli/images/puffin_18s.jpg,0.948718,0.0,left,,,0.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1497.0,k,,,17.0,1.0,0.0,low,,,,,False,False,,,sweater_02s.jpg,../../stimuli/images/sweater_02s.jpg,0.538462,1.0,gong_12s.jpg,../../stimuli/images/gong_12s.jpg,0.585366,1.0,right,,,1.0,,k,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1154.0,k,,,18.0,1.0,1.0,low,8.0,10.0,right,1.0,False,True,True,,cheese_01b.jpg,../../stimuli/images/cheese_01b.jpg,0.575,0.0,music_box_06s.jpg,../../stimuli/images/music_box_06s.jpg,0.575,1.0,right,,,,,k,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,737.0,j,,,18.0,1.0,1.0,low,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,music_box_06s.jpg,../../stimuli/images/music_box_06s.jpg,0.0,0.0,0.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1268.0,j,,,19.0,1.0,0.0,mid,,,,,False,False,,,raft_07s.jpg,../../stimuli/images/raft_07s.jpg,0.794872,0.0,toy_06s.jpg,../../stimuli/images/toy_06s.jpg,0.794872,0.0,left,,,0.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1353.0,j,,,20.0,1.0,0.0,high,,,,,False,False,,,gorilla_13s.jpg,../../stimuli/images/gorilla_13s.jpg,0.974359,0.0,peeler_10s.jpg,../../stimuli/images/peeler_10s.jpg,0.928571,0.0,left,,,0.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,986.0,j,,,21.0,1.0,1.0,mid,11.0,10.0,left,1.0,True,False,True,,tumbleweed_05s.jpg,../../stimuli/images/tumbleweed_05s.jpg,0.794872,1.0,licorice_08s.jpg,../../stimuli/images/licorice_08s.jpg,0.794872,0.0,left,,,,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,385.0,k,,,21.0,1.0,1.0,mid,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,tumbleweed_05s.jpg,../../stimuli/images/tumbleweed_05s.jpg,1.0,0.0,1.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1224.0,j,,,22.0,1.0,1.0,low,7.0,15.0,left,1.0,True,False,True,,chariot_08s.jpg,../../stimuli/images/chariot_08s.jpg,0.525,1.0,centerpiece_13s.jpg,../../stimuli/images/centerpiece_13s.jpg,0.487179,1.0,left,,,,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,923.0,k,,,22.0,1.0,1.0,low,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,chariot_08s.jpg,../../stimuli/images/chariot_08s.jpg,1.0,0.0,1.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1409.0,j,,,23.0,1.0,0.0,mid,,,,,False,False,,,tostada_13s.jpg,../../stimuli/images/tostada_13s.jpg,0.795455,1.0,chick_06s.jpg,../../stimuli/images/chick_06s.jpg,0.794872,1.0,left,,,1.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1062.0,j,,,24.0,1.0,0.0,mid,,,,,False,False,,,tweezers_05s.jpg,../../stimuli/images/tweezers_05s.jpg,0.794872,1.0,odometer_15n.jpg,../../stimuli/images/odometer_15n.jpg,0.794872,1.0,left,,,1.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1177.0,j,,,25.0,1.0,1.0,low,17.0,8.0,right,1.0,False,True,True,,rearview_mirror_11s.jpg,../../stimuli/images/rearview_mirror_11s.jpg,0.410256,1.0,gong_12s.jpg,../../stimuli/images/gong_12s.jpg,0.585366,1.0,left,,,,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,0.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1866.0,k,,,25.0,1.0,1.0,low,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,gong_12s.jpg,../../stimuli/images/gong_12s.jpg,1.0,0.0,1.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,1199.0,j,,,26.0,1.0,0.0,mid,,,,,False,False,,,cucumber_14n.jpg,../../stimuli/images/cucumber_14n.jpg,0.794872,0.0,eggplant_05n.jpg,../../stimuli/images/eggplant_05n.jpg,0.794872,0.0,left,,,0.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,953.0,j,,,27.0,1.0,0.0,low,,,,,False,False,,,leg_04s.jpg,../../stimuli/images/leg_04s.jpg,0.641026,1.0,ink_11s.jpg,../../stimuli/images/ink_11s.jpg,0.564103,1.0,left,,,1.0,,j,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,866.0,k,,,28.0,1.0,1.0,high,20.0,8.0,right,0.0,False,True,True,,celery_07s.jpg,../../stimuli/images/celery_07s.jpg,0.95,1.0,gorilla_13s.jpg,../../stimuli/images/gorilla_13s.jpg,0.974359,0.0,right,,,,,k,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,885.0,j,,,28.0,1.0,1.0,high,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,gorilla_13s.jpg,../../stimuli/images/gorilla_13s.jpg,0.0,0.0,1.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,855.0,k,,,29.0,1.0,1.0,high,16.0,13.0,right,0.0,False,True,True,,marker_13s.jpg,../../stimuli/images/marker_13s.jpg,0.97561,0.0,giraffe_06s.jpg,../../stimuli/images/giraffe_06s.jpg,1.0,0.0,right,,,,,k,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,True,1.0,,,,,,
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,385.0,j,,,29.0,1.0,1.0,high,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,True,giraffe_06s.jpg,../../stimuli/images/giraffe_06s.jpg,0.0,0.0,1.0
direct_value_memtest-8-7-26,55b1add5fdf99b6731f04c5a,True,,756.0,k,,,30.0,1.0,0.0,low,,,,,False,False,,,windshield_07s.jpg,../../stimuli/images/windshield_07s.jpg,0.435897,1.0,radish_01b.jpg,../../stimuli/images/radish_01b.jpg,0.6,1.0,right,,,1.0,,k,False,,,0.81,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
