,outcome,orange_chosen,lucky_chosen,subject_id,sub_factor,environment_coded,t_since_reversal,trial_number,outcome_coded,t_since_centered
0,0.6,2,1.0,70290,1,-1,0,1.0,0.0999999999999999,-7.298447548783477
1,0.0,1,0.0,70290,1,-1,1,2.0,0.5,-6.298447548783477
2,1.0,2,1.0,70290,1,-1,2,3.0,0.5,-5.298447548783477
3,1.0,2,1.0,70290,1,-1,3,4.0,0.5,-4.298447548783477
4,0.8,2,1.0,70290,1,-1,4,5.0,0.3,-3.298447548783477
5,0.2,2,1.0,70290,1,-1,5,6.0,-0.3,-2.298447548783477
6,1.0,2,1.0,70290,1,-1,6,7.0,0.5,-1.2984475487834768
7,0.8,2,1.0,70290,1,-1,7,8.0,0.3,-0.2984475487834768
8,0.4,2,1.0,70290,1,-1,8,9.0,-0.0999999999999999,0.7015524512165232
9,0.6,2,1.0,70290,1,-1,9,10.0,0.0999999999999999,1.7015524512165232
10,0.8,2,1.0,70290,1,-1,10,11.0,0.3,2.701552451216523
11,1.0,2,1.0,70290,1,-1,11,12.0,0.5,3.701552451216523
12,0.8,2,1.0,70290,1,-1,12,13.0,0.3,4.701552451216523
13,0.2,2,1.0,70290,1,-1,13,14.0,-0.3,5.701552451216523
14,0.4,2,1.0,70290,1,-1,14,15.0,-0.0999999999999999,6.701552451216523
15,0.6,2,1.0,70290,1,-1,15,16.0,0.0999999999999999,7.701552451216523
16,1.0,2,1.0,70290,1,-1,16,17.0,0.5,8.701552451216523
17,0.0,2,1.0,70290,1,-1,17,18.0,-0.5,9.701552451216523
18,0.2,2,0.0,70290,1,-1,0,19.0,-0.3,-7.298447548783477
19,0.6,2,0.0,70290,1,-1,1,20.0,0.0999999999999999,-6.298447548783477
20,0.4,2,0.0,70290,1,-1,2,21.0,-0.0999999999999999,-5.298447548783477
21,0.8,2,0.0,70290,1,-1,3,22.0,0.3,-4.298447548783477
22,0.6,2,0.0,70290,1,-1,4,23.0,0.0999999999999999,-3.298447548783477
23,0.8,2,0.0,70290,1,-1,5,24.0,0.3,-2.298447548783477
24,0.0,2,0.0,70290,1,-1,6,25.0,-0.5,-1.2984475487834768
25,0.0,2,0.0,70290,1,-1,7,26.0,-0.5,-0.2984475487834768
26,0.2,2,0.0,70290,1,-1,8,27.0,-0.3,0.7015524512165232
27,0.2,2,0.0,70290,1,-1,9,28.0,-0.3,1.7015524512165232
28,0.2,2,0.0,70290,1,-1,10,29.0,-0.3,2.701552451216523
