experiment_id,participant_id,is_choice_trial,is_attention_check,rt,response,correct_key,correct,trial_number,block_index,old_trial,memorability_bin,encoding_trial,delay,old_side,old_value,left_is_old,right_is_old,repeat_source_was_chosen,old_chosen,left_image_name,left_image_path,left_memorability,left_value,right_image_name,right_image_path,right_memorability,right_value,chosen_side,chosen_image_name,chosen_image_path,chosen_value,reward,response_key,choice_missed,optimal_old_choice,optimal_choice,final_bonus,enc_type,shared_value,chosen_mem_bin,ret_type,left_mem_bin,right_mem_bin,left_is_high,h_value,l_value,delay_h,delay_l,source_hh_trial_number,source_ll_trial_number,hh_source_chosen,ll_source_chosen,value1_source_trial_number,value0_source_trial_number,delay_value1,delay_value0,left_is_value1,value1_source_chosen,value0_source_chosen
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,1918.0,j,,,1.0,1.0,0.0,low,,,,,,,,,banjo_16s.jpg,../../stimuli/images/banjo_16s.jpg,,0.0,scanner_01b.jpg,../../stimuli/images/scanner_01b.jpg,,0.0,left,banjo_16s.jpg,,0.0,0.0,,False,,,1.0,LL,0.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,864.0,k,,,2.0,1.0,0.0,low,,,,,,,,,hubcap_12s.jpg,../../stimuli/images/hubcap_12s.jpg,,1.0,beachball_13s.jpg,../../stimuli/images/beachball_13s.jpg,,1.0,right,beachball_13s.jpg,,1.0,1.0,,False,,,1.0,LL,1.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,1180.0,k,,,3.0,1.0,0.0,high,,,,,,,,,glue_08s.jpg,../../stimuli/images/glue_08s.jpg,,1.0,cello_11s.jpg,../../stimuli/images/cello_11s.jpg,,1.0,right,cello_11s.jpg,,1.0,1.0,,False,,,1.0,HH,1.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,1026.0,j,,,4.0,1.0,0.0,high,,,,,,,,,plaster_cast_02s.jpg,../../stimuli/images/plaster_cast_02s.jpg,,0.0,backscratcher_16s.jpg,../../stimuli/images/backscratcher_16s.jpg,,0.0,left,plaster_cast_02s.jpg,,0.0,0.0,,False,,,1.0,HH,0.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,884.0,k,,,5.0,1.0,0.0,low,,,,,,,,,honeypot_13s.jpg,../../stimuli/images/honeypot_13s.jpg,,1.0,coral_07s.jpg,../../stimuli/images/coral_07s.jpg,,1.0,right,coral_07s.jpg,,1.0,1.0,,False,,,1.0,LL,1.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,1152.0,k,,,6.0,1.0,0.0,high,,,,,,,,,sunroof_01b.jpg,../../stimuli/images/sunroof_01b.jpg,,0.0,metal_detector_11s.jpg,../../stimuli/images/metal_detector_11s.jpg,,0.0,right,metal_detector_11s.jpg,,0.0,0.0,,False,,,1.0,HH,0.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,698.0,j,,,7.0,1.0,0.0,high,,,,,,,,,whisk_07s.jpg,../../stimuli/images/whisk_07s.jpg,,1.0,step_stool_09s.jpg,../../stimuli/images/step_stool_09s.jpg,,1.0,left,whisk_07s.jpg,,1.0,1.0,,False,,,1.0,HH,1.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,1387.0,j,,,8.0,1.0,0.0,low,,,,,,,,,mattress_07s.jpg,../../stimuli/images/mattress_07s.jpg,,1.0,pot_04s.jpg,../../stimuli/images/pot_04s.jpg,,1.0,left,mattress_07s.jpg,,1.0,1.0,,False,,,1.0,LL,1.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,799.0,j,,,9.0,1.0,1.0,low,,,,,,,,,beachball_13s.jpg,../../stimuli/images/beachball_13s.jpg,,1.0,banjo_16s.jpg,../../stimuli/images/banjo_16s.jpg,,0.0,left,beachball_13s.jpg,,1.0,1.0,,False,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,1.0,7.0,8.0,True,True,True
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,956.0,k,,,10.0,1.0,0.0,low,,,,,,,,,top_hat_04s.jpg,../../stimuli/images/top_hat_04s.jpg,,0.0,cheese_01b.jpg,../../stimuli/images/cheese_01b.jpg,,0.0,right,cheese_01b.jpg,,0.0,0.0,,False,,,1.0,LL,0.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,912.0,j,,,11.0,1.0,0.0,high,,,,,,,,,turkey_02s.jpg,../../stimuli/images/turkey_02s.jpg,,0.0,rack1_07s.jpg,../../stimuli/images/rack1_07s.jpg,,0.0,left,turkey_02s.jpg,,0.0,0.0,,False,,,1.0,HH,0.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,764.0,j,,,12.0,1.0,1.0,high,,,,,,,,,cello_11s.jpg,../../stimuli/images/cello_11s.jpg,,1.0,plaster_cast_02s.jpg,../../stimuli/images/plaster_cast_02s.jpg,,0.0,left,cello_11s.jpg,,1.0,1.0,,False,1.0,1.0,1.0,,,,,,,,,,,,,,,,3.0,4.0,9.0,8.0,True,True,True
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,820.0,k,,,13.0,1.0,0.0,high,,,,,,,,,bench_02s.jpg,../../stimuli/images/bench_02s.jpg,,1.0,sofa_bed_05s.jpg,../../stimuli/images/sofa_bed_05s.jpg,,1.0,right,sofa_bed_05s.jpg,,1.0,1.0,,False,,,1.0,HH,1.0,,,,,,,,,,,,,,,,,,,,
matched_memorability-7-3-26,55acf681fdf99b3d5b2ab68c,True,,1021.0,k,,,14.0,1.0,0.0,low,,,,,,,,,barnacle_05s.jpg,../../stimuli/images/barnacle_05s.jpg,,0.0,weed_10s.jpg,../../stimuli/images/weed_10s.jpg,,0.0,right,weed_10s.jpg,,0.0,0.0,,False,,,1.0,LL,0.0,,,,,,,,,,,,,,,,,,,,
