experiment_id,participant_id,is_choice_trial,is_attention_check,rt,response,correct_key,correct,trial_number,block_index,old_trial,memorability_bin,encoding_trial,delay,old_side,old_value,left_is_old,right_is_old,repeat_source_was_chosen,old_chosen,left_image_name,left_image_path,left_memorability,left_value,right_image_name,right_image_path,right_memorability,right_value,chosen_side,chosen_image_name,chosen_image_path,chosen_value,reward,response_key,choice_missed,optimal_old_choice,optimal_choice,final_bonus,enc_type,shared_value,chosen_mem_bin,ret_type,left_mem_bin,right_mem_bin,left_is_high,h_value,l_value,delay_h,delay_l,source_hh_trial_number,source_ll_trial_number,hh_source_chosen,ll_source_chosen,value1_source_trial_number,value0_source_trial_number,delay_value1,delay_value0,left_is_value1,value1_source_chosen,value0_source_chosen
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,,,,,1.0,1.0,0.0,,,,,,,,,,candlestick_10s.jpg,../../stimuli/images/candlestick_10s.jpg,0.525,1.0,cleat_01b.jpg,../../stimuli/images/cleat_01b.jpg,0.487179,1.0,,,,,1.0,,True,,,0.8,LL,1.0,low,,low,low,,,,,,,,,,,,,,,,
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,1391.0,j,,,2.0,1.0,0.0,,,,,,,,,,footbath_01s.jpg,../../stimuli/images/footbath_01s.jpg,0.97561,1.0,mustache_13s.jpg,../../stimuli/images/mustache_13s.jpg,0.976744,1.0,left,footbath_01s.jpg,,1.0,1.0,,False,,,0.8,HH,1.0,high,,high,high,,,,,,,,,,,,,,,,
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,1520.0,j,,,3.0,1.0,0.0,,,,,,,,,,tarantula_07s.jpg,../../stimuli/images/tarantula_07s.jpg,1.0,0.0,peppermint_07s.jpg,../../stimuli/images/peppermint_07s.jpg,0.97619,0.0,left,tarantula_07s.jpg,,0.0,0.0,,False,,,0.8,HH,0.0,high,,high,high,,,,,,,,,,,,,,,,
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,1699.0,k,,,4.0,1.0,0.0,,,,,,,,,,bullet_02s.jpg,../../stimuli/images/bullet_02s.jpg,0.95,0.0,seatbelt_08s.jpg,../../stimuli/images/seatbelt_08s.jpg,0.925,0.0,right,seatbelt_08s.jpg,,0.0,0.0,,False,,,0.8,HH,0.0,high,,high,high,,,,,,,,,,,,,,,,
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,,,,,5.0,1.0,0.0,,,,,,,,,,tank1_02s.jpg,../../stimuli/images/tank1_02s.jpg,0.447368,0.0,dessert_20s.jpg,../../stimuli/images/dessert_20s.jpg,0.625,0.0,,,,,0.0,,True,,,0.8,LL,0.0,low,,low,low,,,,,,,,,,,,,,,,
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,,,,,6.0,1.0,0.0,,,,,,,,,,robot_05s.jpg,../../stimuli/images/robot_05s.jpg,0.608696,0.0,food_processor_12s.jpg,../../stimuli/images/food_processor_12s.jpg,0.585366,0.0,,,,,0.0,,True,,,0.8,LL,0.0,low,,low,low,,,,,,,,,,,,,,,,
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,1206.0,j,,,7.0,1.0,0.0,,,,,,,,,,bassoon_16s.jpg,../../stimuli/images/bassoon_16s.jpg,0.527778,0.0,jukebox_05s.jpg,../../stimuli/images/jukebox_05s.jpg,0.525,0.0,left,bassoon_16s.jpg,,0.0,0.0,,False,,,0.8,LL,0.0,low,,low,low,,,,,,,,,,,,,,,,
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,1300.0,k,,,8.0,1.0,0.0,,,,,,,,,,loincloth_01b.jpg,../../stimuli/images/loincloth_01b.jpg,1.0,1.0,headscarf_11s.jpg,../../stimuli/images/headscarf_11s.jpg,0.97619,1.0,right,headscarf_11s.jpg,,1.0,1.0,,False,,,0.8,HH,1.0,high,,high,high,,,,,,,,,,,,,,,,
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,798.0,j,,,9.0,1.0,1.0,,,,,,,,,,candlestick_10s.jpg,../../stimuli/images/candlestick_10s.jpg,0.525,1.0,footbath_01s.jpg,../../stimuli/images/footbath_01s.jpg,0.97561,1.0,left,candlestick_10s.jpg,,1.0,1.0,,False,,,0.8,,,,4.0,low,high,False,1.0,1.0,7.0,8.0,2.0,1.0,True,False,,,,,,,
mixed_memorability-7-3-26,5588b04ffdf99b7a91e75ddb,True,,1558.0,j,,,10.0,1.0,0.0,,,,,,,,,,ear_09s.jpg,../../stimuli/images/ear_09s.jpg,0.977273,0.0,pomegranate_08s.jpg,../../stimuli/images/pomegranate_08s.jpg,0.95122,0.0,left,ear_09s.jpg,,0.0,0.0,,False,,,0.8,HH,0.0,high,,high,high,,,,,,,,,,,,,,,,
