"rep","N","p","conv_ok"
1,15,0.107824015855416,TRUE
1,20,0.000384920553874379,TRUE
1,30,0.0135233675304173,TRUE
1,40,4.05072108011027e-05,TRUE
1,50,1.95465575405381e-05,TRUE
1,60,1.37511701232892e-06,TRUE
1,80,1.06089646632859e-05,TRUE
1,100,1.47009374619674e-07,TRUE
2,15,0.206247286883625,TRUE
2,20,0.0563263928841736,TRUE
2,30,0.103061465903653,TRUE
2,40,0.174662199498149,TRUE
2,50,0.000303320494392542,TRUE
2,60,0.00187142542056924,TRUE
2,80,8.88115340294283e-05,TRUE
2,100,1.14121277776683e-05,TRUE
3,15,0.0098113694378904,FALSE
3,20,0.000698505488198043,TRUE
3,30,0.0229460537422775,TRUE
3,40,0.00109130348075831,TRUE
3,50,2.54471336699786e-08,TRUE
3,60,5.1236542001119e-05,TRUE
3,80,8.91720841427953e-09,TRUE
3,100,8.3755582532294e-10,FALSE
4,15,0.0141219358718269,TRUE
4,20,0.0904226772615203,TRUE
4,30,0.00338514857031401,TRUE
4,40,0.00122878396544641,TRUE
4,50,7.32962361121779e-06,TRUE
4,60,0.00038504567585079,TRUE
4,80,9.3173985422899e-07,TRUE
4,100,3.11078968167991e-07,TRUE
5,15,0.0479243412899926,FALSE
5,20,0.00406986642253843,TRUE
5,30,2.91014062401954e-07,FALSE
5,40,0.0013201079330324,TRUE
5,50,0.0017209579122501,TRUE
5,60,0.000185467114150168,TRUE
5,80,8.88446799597688e-06,TRUE
5,100,3.19319778311888e-06,FALSE
6,15,0.24439568037038,FALSE
6,20,0.0953539706882353,TRUE
6,30,0.00474270266721549,TRUE
6,40,0.0283239462904186,TRUE
6,50,0.000250794962385845,TRUE
6,60,0.00208299549644372,TRUE
6,80,4.1728789060063e-07,TRUE
6,100,8.40260933801835e-08,FALSE
7,15,0.000167176596660268,TRUE
7,20,NA,FALSE
7,30,0.0024399047219433,TRUE
7,40,5.3259877195457e-05,FALSE
7,50,2.94153800759572e-05,TRUE
7,60,2.26146195497959e-06,TRUE
7,80,9.63357506727685e-10,FALSE
7,100,4.91450061997172e-09,TRUE
8,15,0.264989587452587,TRUE
8,20,0.00528015344517631,TRUE
8,30,0.00359885711459865,TRUE
8,40,0.0016517869424297,TRUE
8,50,0.000820236424825011,TRUE
8,60,3.32459757611116e-05,TRUE
