,subject_id,accuracy,object,response,true_value,environment_coded
8,70290,0,object135.jpg,0.4,0.8,raw/volstab
23,70290,0,object317.jpg,0.2,1.0,raw/volstab
50,70290,0,object471.jpg,0.6,0.4,raw/volstab
56,70290,1,object119.jpg,0,0.0,raw/volstab
59,70290,0,object194.jpg,0.4,0.2,raw/volstab
65,70290,1,object527.jpg,0.6,0.6,raw/volstab
68,70290,0,object340.jpg,0.2,0.6,raw/volstab
92,70290,1,object352.jpg,0,0.0,raw/volstab
95,70290,0,object412.jpg,0,,raw/volstab
107,70290,0,object101.jpg,0.6,0.4,raw/volstab
137,70290,0,object484.jpg,0.6,0.0,raw/volstab
257,17234,1,object587.jpg,0.8,0.8,raw/volstab
269,17234,0,object452.jpg,0.2,0.6,raw/volstab
326,17234,1,object552.jpg,0,0.0,raw/volstab
329,17234,0,object452.jpg,0.2,0.6,raw/volstab
347,17234,0,object335.jpg,0.4,0.2,raw/volstab
368,17234,0,object643.jpg,0.6,0.4,raw/volstab
488,37952,0,object377.jpg,0.4,0.0,raw/volstab
509,37952,0,object75.jpg,0.2,0.0,raw/volstab
518,37952,0,object504.jpg,0.4,0.2,raw/volstab
536,37952,0,object329.jpg,0.8,1.0,raw/volstab
545,37952,0,object498.jpg,0.6,0.4,raw/volstab
548,37952,0,object570.jpg,0.8,0.6,raw/volstab
560,37952,1,object515.jpg,0.4,0.4,raw/volstab
569,37952,0,object136.jpg,1,0.8,raw/volstab
572,37952,0,object196.jpg,0.8,0.2,raw/volstab
587,37952,1,object560.jpg,0.8,0.8,raw/volstab
638,37952,0,object150.jpg,1,0.8,raw/volstab
644,37952,0,object293.jpg,0.6,0.2,raw/volstab
722,22391,0,object201.jpg,0.2,0.6,raw/volstab
791,22391,0,object295.jpg,0.4,,raw/volstab
809,22391,0,object260.jpg,0.4,0.0,raw/volstab
884,22391,0,object248.jpg,0.4,,raw/volstab
890,22391,0,object638.jpg,0.6,,raw/volstab
896,22391,0,object13.jpg,0.4,,raw/volstab
899,22391,0,object460.jpg,0.4,,raw/volstab
950,22391,0,object49.jpg,0.6,,raw/volstab
953,22391,0,object528.jpg,0.6,,raw/volstab
962,71197,0,object528.jpg,0.8,,raw/volstab
971,71197,0,object519.jpg,0.4,,raw/volstab
977,71197,1,object461.jpg,1,1.0,raw/volstab
995,71197,0,object298.jpg,0.8,0.0,raw/volstab
1016,71197,0,object248.jpg,0,0.6,raw/volstab
1019,71197,1,object215.jpg,0,0.0,raw/volstab
1031,71197,0,object329.jpg,0.8,0.2,raw/volstab
1034,71197,0,object399.jpg,0.6,1.0,raw/volstab
1055,71197,0,object212.jpg,0.6,0.8,raw/volstab
1064,71197,1,object42.jpg,0,0.0,raw/volstab
1118,71197,0,object117.jpg,0.2,0.8,raw/volstab
1214,47078,1,object442.jpg,0.8,0.8,raw/volstab
1226,47078,1,object70.jpg,0.4,0.4,raw/volstab
1235,47078,1,object37.jpg,1,1.0,raw/volstab
1256,47078,0,object26.jpg,0.4,0.6,raw/volstab
1259,47078,0,object635.jpg,0.4,0.2,raw/volstab
1265,47078,1,object519.jpg,1,1.0,raw/volstab
1268,47078,0,object236.jpg,0.8,1.0,raw/volstab
1277,47078,0,object428.jpg,0.4,0.0,raw/volstab
1286,47078,1,object375.jpg,0.4,0.4,raw/volstab
1340,47078,1,object253.jpg,0.8,0.8,raw/volstab
1376,47078,1,object427.jpg,0,0.0,raw/volstab
1397,47078,1,object563.jpg,0.6,0.6,raw/volstab
1403,47078,0,object657.jpg,0.4,0.0,raw/volstab
1424,47078,0,object269.jpg,0.4,,raw/volstab
1445,59084,0,object274.jpg,0.4,0.8,raw/volstab
1457,59084,1,object414.jpg,0,0.0,raw/volstab
1475,59084,1,object161.jpg,1,1.0,raw/volstab
1502,59084,0,object25.jpg,0.8,0.2,raw/volstab
1526,59084,1,object629.jpg,1,1.0,raw/volstab
1598,59084,0,object79.jpg,0.2,,raw/volstab
1616,59084,0,object53.jpg,0.6,,raw/volstab
1619,59084,0,object401.jpg,0.8,1.0,raw/volstab
1685,97882,1,object533.jpg,0.4,0.4,raw/volstab
1688,97882,1,object296.jpg,0.8,0.8,raw/volstab
1697,97882,1,object317.jpg,0,0.0,raw/volstab
1703,97882,1,object526.jpg,0,0.0,raw/volstab
1712,97882,0,object163.jpg,0.2,0.0,raw/volstab
1718,97882,1,object175.jpg,1,1.0,raw/volstab
1721,97882,1,object299.jpg,0.6,0.6,raw/volstab
1724,97882,0,object46.jpg,0,0.2,raw/volstab
1733,97882,1,object71.jpg,0.6,0.6,raw/volstab
1739,97882,1,object319.jpg,0.8,0.8,raw/volstab
1742,97882,1,object518.jpg,0.6,0.6,raw/volstab
1745,97882,1,object357.jpg,1,1.0,raw/volstab
1754,97882,0,object59.jpg,0.6,0.4,raw/volstab
1757,97882,0,object586.jpg,0.8,1.0,raw/volstab
1760,97882,0,object128.jpg,0.2,0.0,raw/volstab
1781,97882,0,object127.jpg,0.2,0.8,raw/volstab
1802,97882,1,object71.jpg,0.6,0.6,raw/volstab
1805,97882,0,object236.jpg,0.2,0.4,raw/volstab
