concept_id,memorability_bin,image_name,image_filepath,source_path,memorability_score,recognizability,nameability,concreteness_score,memorability_percentile,things_file_path,category27_label,category27_id,things_category,selection_source
giraffe,high,giraffe_06s.jpg,images/giraffe_06s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/giraffe/giraffe_06s.jpg,1.0,0.941176471,1.0,4.73,99.98084731479354,giraffe/giraffe_06s.jpg,animal,1,animal,milp
gorilla,high,gorilla_13s.jpg,images/gorilla_13s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/gorilla/gorilla_13s.jpg,0.974358974,1.0,0.9375,4.97,99.66865854592814,gorilla/gorilla_13s.jpg,animal,1,animal,milp
panther,high,panther_01b.jpg,images/panther_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/panther/panther_01b.jpg,0.975,0.833333333,0.611111111,4.93,99.75676089787788,panther/panther_01b.jpg,animal,1,animal,milp
pig,high,pig_06s.jpg,images/pig_06s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/pig/pig_06s.jpg,0.975609756,0.933333333,1.0,5.0,99.85827012947215,pig/pig_06s.jpg,animal,1,animal,milp
piglet,high,piglet_02s.jpg,images/piglet_02s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/piglet/piglet_02s.jpg,0.974358974,0.1,0.176470588,4.93,99.66865854592814,piglet/piglet_02s.jpg,animal,1,animal,milp
tarantula,high,tarantula_07s.jpg,images/tarantula_07s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/tarantula/tarantula_07s.jpg,1.0,0.2,0.611111111,4.83,99.98084731479354,tarantula/tarantula_07s.jpg,animal,1,animal,milp
crow,high,crow_15s.jpg,images/crow_15s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/crow/crow_15s.jpg,0.926829268,0.888888889,0.75,4.93,97.4143874971271,crow/crow_15s.jpg,bird,2,bird,milp
peacock,high,peacock_12s.jpg,images/peacock_12s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/peacock/peacock_12s.jpg,0.925,0.923076923,1.0,5.0,96.62338159810005,peacock/peacock_12s.jpg,bird,2,bird,milp
puffin,high,puffin_18s.jpg,images/puffin_18s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/puffin/puffin_18s.jpg,0.948717949,0.647058824,0.611111111,4.38,98.57120968359764,puffin/puffin_18s.jpg,bird,2,bird,milp
rooster,high,rooster_12s.jpg,images/rooster_12s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/rooster/rooster_12s.jpg,0.952380952,0.615384615,0.888888889,4.75,99.47138588830154,rooster/rooster_12s.jpg,bird,2,bird,milp
swan,high,swan_01b.jpg,images/swan_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/swan/swan_01b.jpg,0.925,0.714285714,1.0,4.96,96.62338159810005,swan/swan_01b.jpg,bird,2,bird,milp
turkey,high,turkey_02s.jpg,images/turkey_02s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/turkey/turkey_02s.jpg,0.926829268,0.6875,1.0,4.89,97.4143874971271,turkey/turkey_02s.jpg,bird,2,bird,milp
beard,high,beard_11s.jpg,images/beard_11s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/beard/beard_11s.jpg,0.975,0.9375,1.0,4.96,99.75676089787788,beard/beard_11s.jpg,body part,3,body part,milp
calf2,high,calf2_03s.jpg,images/calf2_03s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/calf2/calf2_03s.jpg,0.976744186,0.583333333,0.611111111,4.48,99.9463724814219,calf2/calf2_03s.jpg,body part,3,body part,milp
ear,high,ear_09s.jpg,images/ear_09s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/ear/ear_09s.jpg,0.977272727,1.0,1.0,5.0,99.95786409254578,ear/ear_09s.jpg,body part,3,body part,milp
hip,high,hip_04s.jpg,images/hip_04s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/hip/hip_04s.jpg,0.952380952,0.0,0.0,4.21,99.47138588830154,hip/hip_04s.jpg,body part,3,body part,milp
mustache,high,mustache_13s.jpg,images/mustache_13s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/mustache/mustache_13s.jpg,0.976744186,0.733333333,0.777777778,4.9,99.9463724814219,mustache/mustache_13s.jpg,body part,3,body part,milp
torso,high,torso_05s.jpg,images/torso_05s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/torso/torso_05s.jpg,1.0,0.058823529,0.222222222,4.83,99.98084731479354,torso/torso_05s.jpg,body part,3,body part,milp
cape,high,cape_07s.jpg,images/cape_07s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cape/cape_07s.jpg,1.0,0.153846154,0.444444444,4.77,99.98084731479354,cape/cape_07s.jpg,clothing,4,clothing,milp
